fecha,ventana,cluster_id_dia,n_nodos,n_nodos_servidos,n_nodos_no_servidos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-21,AM,11,14,14,0,15.292,2276.705,2,70.599,0.038
2026-12-21,AM,12,11,11,0,13.544,1983.501,2,71.333,0.036
2026-12-21,AM,2,10,10,0,14.209,1918.442,2,59.607,0.035
2026-12-21,AM,3,15,15,0,14.678,2193.336,2,79.426,0.039
2026-12-21,AM,4,14,14,0,15.901,2317.537,2,56.973,0.037
2026-12-21,PM,1,17,17,0,14.685,2169.049,2,40.907,0.072
2026-12-21,PM,5,12,12,0,14.162,1948.695,2,62.74,0.039
2026-12-21,PM,6,12,12,0,15.626,2237.058,2,13.581,0.036
2026-12-21,PM,7,14,14,0,15.792,2441.768,2,16.492,0.038
2026-12-21,PM,8,12,12,0,15.413,2178.696,2,17.307,0.037
2026-12-21,PM,9,13,13,0,15.981,2433.014,2,23.235,0.038
2026-12-22,AM,1,20,20,0,14.916,2383.857,2,50.826,0.044
2026-12-22,AM,2,12,12,0,15.65,2475.155,2,79.284,0.037
2026-12-22,AM,5,10,10,0,15.795,2262.885,2,57.87,0.037
2026-12-22,AM,8,17,17,0,14.719,2308.255,2,40.686,0.041
2026-12-22,AM,9,16,16,0,11.107,1664.301,2,78.252,0.051
2026-12-22,PM,3,10,10,0,12.033,1641.112,2,44.044,0.039
2026-12-22,PM,4,6,6,0,15.462,2032.489,2,23.747,0.033
2026-12-22,PM,6,14,14,0,15.997,2248.516,2,13.39,0.038
2026-12-22,PM,7,17,17,0,15.809,2210.734,2,18.528,0.041
2026-12-23,AM,1,18,18,0,15.926,2487.806,2,59.889,0.043
2026-12-23,AM,2,17,17,0,15.242,2249.356,2,98.337,0.04
2026-12-23,AM,6,21,21,0,15.147,2403.01,2,30.234,0.046
2026-12-23,AM,8,14,14,0,12.642,1940.881,2,68.901,0.044
2026-12-23,PM,3,16,16,0,14.328,2397.788,2,62.434,0.039
2026-12-23,PM,4,15,15,0,15.795,2540.968,2,42.697,0.04
2026-12-23,PM,5,15,15,0,15.377,2226.084,2,16.652,0.039
2026-12-23,PM,7,16,16,0,14.645,2265.701,2,46.35,0.039
2026-12-24,AM,1,13,13,0,15.589,2428.509,2,48.658,0.04
2026-12-24,AM,2,13,13,0,15.681,2146.594,2,104.874,0.043
2026-12-24,AM,4,16,16,0,13.941,2017.577,2,63.923,0.048
2026-12-24,AM,7,13,13,0,15.714,2294.423,2,58.533,0.041
2026-12-24,PM,3,8,8,0,15.893,2111.144,2,40.713,0.038
2026-12-24,PM,5,10,10,0,15.881,2037.471,2,16.914,0.037
2026-12-24,PM,6,14,14,0,15.382,2052.818,2,27.718,0.042
2026-12-24,PM,8,2,2,0,1.632,236.736,1,31.222,0.033
2026-12-25,AM,1,18,18,0,15.88,2253.921,2,53.753,0.047
2026-12-25,AM,12,13,13,0,14.272,2102.549,2,75.239,0.036
2026-12-25,AM,2,17,17,0,15.704,2298.753,2,76.557,0.039
2026-12-25,AM,4,17,17,0,15.915,2253.578,2,36.064,0.041
2026-12-25,AM,5,8,8,0,15.042,1948.58,2,54.975,0.034
2026-12-25,AM,9,16,16,0,15.356,2151.778,2,27.811,0.039
