fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-23,PM,9,7,8.376,1408.5,1,5.332,1,"[0, 1615, 1619, 1621, 1631, 1638, 1663, 1670, 0]",7,8.376,1408.5,5.332,0.213,1.167,0.0,1.38,93.06,46.95
2026-12-24,AM,1,9,8.754,1356.825,1,30.882,1,"[0, 914, 322, 1247, 47, 81, 1251, 449, 452, 446, 0]",9,8.754,1356.825,30.882,1.235,1.5,0.0,2.735,97.27,45.23
2026-12-24,AM,11,10,8.651,1171.052,1,18.525,1,"[0, 2182, 1560, 1750, 1752, 1842, 1122, 597, 611, 262, 274, 0]",10,8.651,1171.052,18.525,0.741,1.667,0.0,2.408,96.13,39.04
2026-12-24,AM,13,13,8.461,1207.499,1,13.792,1,"[0, 1904, 1915, 1940, 1967, 1982, 1365, 1871, 1899, 1351, 880, 905, 907, 619, 0]",13,8.461,1207.499,13.792,0.552,2.167,0.0,2.718,94.01,40.25
2026-12-24,AM,2,6,8.879,1370.34,1,28.124,1,"[0, 1415, 1423, 1428, 1473, 1166, 372, 0]",6,8.879,1370.34,28.124,1.125,1.0,0.0,2.125,98.65,45.68
2026-12-24,AM,3,8,8.863,1135.924,1,43.76,1,"[0, 208, 941, 214, 779, 4, 795, 1501, 760, 0]",8,8.863,1135.924,43.76,1.796,1.333,0.0,3.13,98.47,37.86
2026-12-24,AM,4,9,8.561,1287.951,1,31.92,1,"[0, 664, 665, 506, 120, 108, 2247, 2254, 1011, 1007, 0]",9,8.561,1287.951,31.92,1.277,1.5,0.0,2.777,95.12,42.93
2026-12-24,AM,7,9,8.004,1281.483,1,34.533,1,"[0, 1592, 2062, 2019, 2021, 729, 1101, 551, 390, 142, 0]",9,8.004,1281.483,34.533,1.381,1.5,0.0,2.881,88.93,42.72
2026-12-24,PM,10,2,8.625,1048.71,1,7.522,1,"[0, 1784, 1696, 0]",2,8.625,1048.71,7.522,0.301,0.333,0.0,0.634,95.83,34.96
2026-12-24,PM,12,5,8.171,943.755,1,15.688,1,"[0, 1818, 1833, 1838, 1839, 841, 0]",5,8.171,943.755,15.688,0.628,0.833,0.0,1.461,90.78,31.46
2026-12-24,PM,14,1,2.076,346.718,1,14.272,1,"[0, 836, 0]",1,2.075,346.718,14.272,0.571,0.167,0.0,0.738,23.06,11.56
2026-12-24,PM,5,5,6.981,957.818,1,25.876,1,"[0, 1595, 2036, 2216, 2215, 1115, 0]",5,6.981,957.818,25.876,1.035,0.833,0.0,1.868,77.57,31.93
2026-12-24,PM,6,2,7.501,941.117,1,21.134,1,"[0, 2023, 1110, 0]",2,7.501,941.117,21.134,0.845,0.333,0.0,1.179,83.35,31.37
2026-12-24,PM,8,7,7.918,1193.781,1,31.5,1,"[0, 1597, 1621, 1561, 1571, 1112, 296, 1209, 0]",7,7.918,1193.781,31.5,1.26,1.167,0.0,2.427,87.98,39.79
2026-12-24,PM,9,3,8.27,1082.299,1,10.713,1,"[0, 1766, 1780, 1079, 0]",3,8.27,1082.299,10.713,0.429,0.5,0.0,0.929,91.89,36.08
2026-12-25,AM,10,7,8.632,1209.568,1,21.603,1,"[0, 2092, 497, 2027, 2220, 2217, 972, 992, 0]",7,8.632,1209.568,21.603,0.864,1.167,0.0,2.031,95.91,40.32
2026-12-25,AM,12,4,8.946,1247.354,1,32.972,1,"[0, 2087, 964, 424, 429, 0]",4,8.946,1247.354,32.972,1.319,0.667,0.0,1.986,99.4,41.58
2026-12-25,AM,13,12,7.89,1060.209,1,30.939,1,"[0, 1592, 1757, 1599, 2062, 1477, 961, 718, 720, 157, 1100, 26, 417, 0]",12,7.89,1060.209,30.939,1.238,2.0,0.0,3.238,87.67,35.34
